Time (s),Main Avg Current (mA),Main Avg Voltage (V)
1.3340,0.01,2.9975
1.3360,0.008,2.9985
1.3380,0.01,2.9985
1.3400,0.008,2.9975
1.3420,0.016,2.9975
1.3440,0.01,2.9975
1.3460,0.008,2.9975
1.3480,0.008,2.9975
1.3500,0.016,2.9975
1.3520,0.012,2.9975
1.3540,0.012,2.9975
1.3560,0.008,2.9975
1.3580,0.016,2.9975
1.3600,0.01,2.9985
1.3620,0.008,2.9975
1.3640,0.016,2.9975
1.3660,0.016,2.997
1.3680,0.012,2.997
1.3700,0.008,2.997
1.3720,0.016,2.9975
1.3740,0.012,2.9975
1.3760,0.016,2.9975
1.3780,0.016,2.9975
1.3800,0.016,2.9975
1.3820,0.012,2.9985
1.3840,0.01,2.997
1.3860,0.01,2.9975
1.3880,0.008,2.9975
1.3900,0.01,2.9975
1.3920,0.012,2.9975
1.3940,0.016,2.9975
1.3960,0.016,2.9975
1.3980,0.012,2.997
1.4000,0.002,2.9975
1.4020,0.016,2.9975
1.4040,0.004,2.9985
1.4060,0.01,2.9985
1.4080,0.018,2.9975
1.4100,0.01,2.9985
1.4120,0.016,2.9975
1.4140,0.02,2.9975
1.4160,0.016,2.9975
1.4180,0.016,2.9985
1.4200,0.016,2.997
1.4220,0.012,2.9975
1.4240,0.01,2.9975
1.4260,0.01,2.9975
1.4280,0.012,2.9975
1.4300,0.016,2.997
1.4320,0.018,2.9985
1.4340,0.016,2.9975
1.4360,0.01,2.9975
1.4380,0.016,2.9985
1.4400,0.01,2.9975
1.4420,0.016,2.9975
1.4440,0.01,2.9975
1.4460,0.012,2.997
1.4480,0.016,2.9975
1.4500,0.02,2.9975
1.4520,0.018,2.9975
1.4540,0.012,2.9975
1.4560,0.018,2.9975
1.4580,0.02,2.9975
1.4600,0.012,2.997
1.4620,0.004,2.9975
1.4640,0.012,2.9975
1.4660,2.758,2.9985
1.4680,0.016,2.9975
1.4700,0.012,2.9975
1.4720,0.01,2.9975
1.4740,0.016,2.9975
1.4760,0.016,2.9985
1.4780,0.018,2.9975
1.4800,0.018,2.9985
1.4820,0.018,2.9975
1.4840,0.012,2.9975
1.4860,0.012,2.9975
1.4880,0.008,2.9975
1.4900,0.018,2.9975
1.4920,0.02,2.9975
1.4940,0.018,2.9975
1.4960,0.01,2.9975
1.4980,0.01,2.997
1.5000,0.016,2.9975
1.5020,0.012,2.9975
1.5040,0.02,2.9975
1.5060,0.008,2.9975
1.5080,0.008,2.9975
1.5100,0.012,2.9985
1.5120,0.012,2.9975
1.5140,0.01,2.9985
1.5160,0.016,2.9985
1.5180,0.018,2.9975
1.5200,0.012,2.9975
1.5220,0.012,2.997
1.5240,0.012,2.9975
1.5260,0.008,2.9975
1.5280,0.016,2.9975
1.5300,0.01,2.997
1.5320,0.012,2.9975
1.5340,0.012,2.9975
1.5360,0.018,2.9985
1.5380,0.024,2.9975
1.5400,0.016,2.9975
1.5420,0.008,2.9985
1.5440,0.02,2.9975
1.5460,0.008,2.9975
1.5480,0.012,2.9975
1.5500,0.018,2.997
1.5520,0.018,2.9975
1.5540,0.016,2.997
1.5560,0.01,2.9975
1.5580,0.012,2.9975
1.5600,0.01,2.9975
1.5620,0.012,2.9975
1.5640,0.008,2.9975
1.5660,0.012,2.9985
1.5680,0.008,2.9975
1.5700,0.016,2.9975
1.5720,0.016,2.9975
1.5740,0.19,2.9975
1.5760,7.456,2.9975
1.5780,0.018,2.9975
1.5800,0.02,2.999
1.5820,0.02,2.9975
1.5840,0.012,2.997
1.5860,0.016,2.997
1.5880,0.01,2.997
1.5900,0.012,2.9975
1.5920,0.02,2.999
1.5940,0.012,2.9975
1.5960,0.016,2.9985
1.5980,0.018,2.9985
1.6000,0.016,2.9975
1.6020,0.012,2.9975
1.6040,0.016,2.9975
1.6060,0.016,2.9975
1.6080,0.016,2.9975
1.6100,0.016,2.9975
1.6120,0.008,2.9985
